2133,-991,-2961,3781.44
2130,-992,-2950,3771.40
2137,-990,-2957,3780.31
2135,-992,-2953,3776.57
2129,-988,-2941,3762.75
2132,-997,-2954,3776.98
2128,-992,-2950,3770.27
2136,-986,-2935,3761.50
2132,-985,-2952,3772.26
2142,-997,-2960,3787.32
2140,-985,-2959,3782.26
2143,-988,-2948,3776.15
2138,-993,-2954,3779.31
2139,-991,-2959,3783.26
2132,-987,-2947,3768.87
2133,-989,-2951,3773.09
2133,-995,-2956,3778.58
2139,-994,-2932,3762.98
2131,-993,-2945,3768.32
2143,-996,-2940,3772.01
2133,-993,-2950,3773.36
2144,-986,-2948,3776.19
2132,-995,-2943,3767.85
2136,-995,-2933,3762.31
2140,-997,-2953,3780.72
2138,-989,-2943,3769.67
2138,-996,-2936,3766.05
2135,-994,-2942,3768.50
2142,-993,-2950,3778.45
2136,-993,-2946,3771.93
2134,-992,-2960,3781.48
2133,-991,-2954,3775.96
2134,-992,-2953,3776.01
2132,-994,-2938,3763.68
2134,-992,-2953,3776.01
2132,-982,-2947,3767.57
2136,-989,-2948,3772.44
2132,-992,-2940,3764.72
2140,-990,-2937,3766.39
2129,-997,-2946,3769.03
2134,-987,-2952,3773.91
2136,-992,-2956,3779.48
2138,-991,-2942,3769.41
2136,-996,-2942,3769.60
2133,-988,-2943,3766.57
2136,-992,-2938,3765.42
2138,-996,-2944,3772.29
2130,-995,-2940,3764.38
2135,-992,-2941,3767.20
2134,-997,-2935,3763.27
2140,-991,-2935,3765.09
2140,-989,-2953,3778.61
2131,-996,-2947,3770.67
2134,-996,-2961,3783.32
2135,-997,-2941,3768.52
2137,-992,-2943,3769.89
2129,-983,-2939,3759.87
2130,-990,-2938,3761.49
2136,-994,-2946,3772.19
2128,-989,-2947,3767.14
2125,-991,-2952,3769.88
2136,-999,-2952,3778.20
2131,-991,-2955,3775.61
2132,-992,-2944,3767.84
2134,-995,-2941,3767.42
2135,-997,-2940,3767.74
2131,-992,-2944,3767.28
2137,-988,-2939,3765.72
2136,-989,-2943,3768.54
2138,-990,-2933,3762.13
2140,-991,-2941,3769.77
2140,-991,-2948,3775.23
2134,-989,-2949,3772.09
2134,-995,-2937,3764.30
2129,-993,-2940,3763.28
2135,-992,-2930,3758.62
2130,-987,-2947,3767.74
2131,-985,-2935,3758.41
2139,-994,-2933,3763.75
